icd_9,label_index,test_gold_support,scope,ngram_rank,ngram,n_notes_peaking_here,mean_attention,max_attention
401.9,1,1441,all_test,1,consciousness alert interactive activity,16,0.00211,0.00264
401.9,1,1441,all_test,2,alert interactive activity status,10,0.00259,0.00345
401.9,1,1441,all_test,3,non contributory physical exam,10,0.00258,0.00473
401.9,1,1441,all_test,4,cigarette smoked yes x,8,0.00284,0.00392
401.9,1,1441,all_test,5,nc physical exam exam,7,0.00478,0.01036
401.9,1,1441,all_test,6,tobacco quit year ago,7,0.00442,0.00472
401.9,1,1441,all_test,7,bp hr r o2sats,7,0.0039,0.00537
401.9,1,1441,all_test,8,child retired etoh use,7,0.00368,0.00368
401.9,1,1441,all_test,9,exam bp hr r,7,0.0034,0.00488
401.9,1,1441,all_test,10,electrical activity noted monitor,7,0.00248,0.00248
401.9,1,1441,gold_notes,1,pertinent result small bowel,1,0.04772,0.04772
401.9,1,1441,gold_notes,2,making decision today unknown,1,0.032,0.032
401.9,1,1441,gold_notes,3,af intubated gen intubated,1,0.02479,0.02479
401.9,1,1441,gold_notes,4,instruction none followup instruction,1,0.02082,0.02082
401.9,1,1441,gold_notes,5,physical exam bp hr,2,0.01915,0.03588
401.9,1,1441,gold_notes,6,lopressor protonix synthroid asa,1,0.01847,0.01847
401.9,1,1441,gold_notes,7,noncontributory physical exam deceased,1,0.01618,0.01618
401.9,1,1441,gold_notes,8,hr r19 o2sats100ra gen,1,0.0146,0.0146
401.9,1,1441,gold_notes,9,neuro ox3 ambulatory chest,1,0.01453,0.01453
401.9,1,1441,gold_notes,10,etoh use hcp dnr,1,0.01422,0.01422
272.0,3,278,all_test,1,mg tablet sig tablet,52,0.00295,0.01001
272.0,3,278,all_test,2,tablet sig tablet po,36,0.00294,0.01349
272.0,3,278,all_test,3,tablet sig two tablet,14,0.00249,0.00573
272.0,3,278,all_test,4,sig tablet po daily,10,0.00214,0.00362
272.0,3,278,all_test,5,po q6h every hour,9,0.00172,0.0025
272.0,3,278,all_test,6,mg tablet tablet mouth,8,0.00528,0.00714
